filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1DrL,CNNOnsetDetector,641,401,0,240,1,0.6255850234,0.7696737044,1.6501789072,5.2344212769,1
B1Dr3S2phr1v1DrL,CNNOnsetDetector,748,414,0,334,1,0.5534759358,0.7125645439,2.7004324932,5.6058036405,1
B2Dr2S2phr1v1DrL,CNNOnsetDetector,800,438,0,362,1,0.5475,0.7075928918,3.4723650113,6.2836030923,1
B1Dr1S2phr1v2DrL,CNNOnsetDetector,668,419,0,249,1,0.627245509,0.7709291628,2.3405436176,5.4560531042,1
B1Dr3S2phr1v2DrL,CNNOnsetDetector,750,384,0,366,1,0.512,0.6772486772,3.0454130424,5.9160613706,1
B2Dr2S2phr1v2DrL,CNNOnsetDetector,798,451,0,347,1,0.5651629073,0.7221777422,4.058896342,6.7653726034,1
B1Dr1S2phr2v1DrL,CNNOnsetDetector,250,144,30,106,0.8275862069,0.576,0.679245283,1.1286185603,4.9987915444,1
B1Dr3S2phr2v1DrL,CNNOnsetDetector,242,124,0,118,1,0.5123966942,0.6775956284,2.5270491437,5.5549080971,1
B2Dr2S2phr2v1DrL,CNNOnsetDetector,321,150,0,171,1,0.4672897196,0.6369426752,4.8454106657,7.5331289527,1
B1Dr1S2phr2v2DrL,CNNOnsetDetector,253,149,0,104,1,0.5889328063,0.7412935323,1.9117733846,5.5001820546,1
B1Dr3S2phr2v2DrL,CNNOnsetDetector,230,122,0,108,1,0.5304347826,0.6931818182,2.5066578742,5.2824431565,1
B2Dr2S2phr2v2DrL,CNNOnsetDetector,301,153,0,148,1,0.5083056478,0.6740088106,2.7927532707,6.4853031768,1
B1Dr1S2phr3v1DrL,CNNOnsetDetector,533,254,0,279,1,0.4765478424,0.6454891995,4.5542968965,6.5226741204,1
B1Dr3S2phr3v1DrL,CNNOnsetDetector,445,275,0,170,1,0.6179775281,0.7638888889,2.1377270457,5.537672007,1
B2Dr2S2phr3v1DrL,CNNOnsetDetector,460,269,0,191,1,0.5847826087,0.7379972565,2.0274139971,5.9833025877,1
B1Dr1S2phr3v2DrL,CNNOnsetDetector,519,258,0,261,1,0.4971098266,0.6640926641,4.5273744747,6.0635382322,1
B1Dr3S2phr3v2DrL,CNNOnsetDetector,462,283,0,179,1,0.6125541126,0.7597315436,2.1718219391,5.4608215454,1
B2Dr2S2phr3v2DrL,CNNOnsetDetector,570,277,0,293,1,0.4859649123,0.6540731995,5.1878034157,7.2545810366,1
B1Dr2S2phr1v1DrL,CNNOnsetDetector,893,461,1,432,0.9978354978,0.516237402,0.6804428044,3.8621202889,6.5138869516,1
B2Dr1S2phr1v1DrL,CNNOnsetDetector,761,444,8,317,0.982300885,0.5834428384,0.7320692498,3.6323173823,6.1853200388,1
B2Dr3S2phr1v1DrL,CNNOnsetDetector,796,413,0,383,1,0.5188442211,0.6832092639,3.6362476053,6.343580969,1
B1Dr2S2phr1v2DrL,CNNOnsetDetector,867,471,0,396,1,0.5432525952,0.7040358744,3.3473540017,6.5091719417,1
B2Dr1S2phr1v2DrL,CNNOnsetDetector,739,429,0,310,1,0.5805142084,0.7345890411,3.1747766123,6.0178726251,1
B2Dr3S2phr1v2DrL,CNNOnsetDetector,824,422,0,402,1,0.5121359223,0.6773675762,3.5774592706,6.1052166713,1
B1Dr2S2phr2v1DrL,CNNOnsetDetector,340,161,0,179,1,0.4735294118,0.6427145709,3.5318356592,6.463671535,1
B2Dr1S2phr2v1DrL,CNNOnsetDetector,269,154,0,115,1,0.5724907063,0.7281323877,2.828729374,5.7906811141,1
B2Dr3S2phr2v1DrL,CNNOnsetDetector,268,136,0,132,1,0.5074626866,0.6732673267,4.1032475873,6.3856797795,1
