filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1BassPick,ComplexFlux,281.0,222.0,32.0,59.0,0.8740157480314961,0.7900355871886121,0.8299065420560746,-2.3083613317869283,4.199865853464819,0.8999999999999999
B1Dr3S2phr1v1BassPick,ComplexFlux,280.0,240.0,26.0,40.0,0.9022556390977443,0.8571428571428571,0.879120879120879,-2.5452677747615025,3.906112854868317,0.8999999999999999
B2Dr2S2phr1v1BassPick,ComplexFlux,285.0,221.0,33.0,64.0,0.8700787401574803,0.775438596491228,0.8200371057513914,-2.1047127834416846,4.5685102322304685,0.8999999999999999
B1Dr1S2phr1v1DrL,ComplexFlux,641.0,361.0,0.0,280.0,1.0,0.5631825273010921,0.720558882235529,-3.5858570244394015,4.589602351953749,0.8999999999999999
B1Dr3S2phr1v1DrL,ComplexFlux,748.0,347.0,0.0,401.0,1.0,0.46390374331550804,0.6337899543378996,-2.6709297246937926,5.5262222377710035,0.8999999999999999
B2Dr2S2phr1v1DrL,ComplexFlux,800.0,375.0,0.0,425.0,1.0,0.46875,0.6382978723404256,-2.0326669164161224,6.403504021363289,0.8999999999999999
B1Dr1S2phr1v1DrR,ComplexFlux,641.0,364.0,0.0,277.0,1.0,0.5678627145085804,0.7243781094527364,-3.290206030803991,5.219887356497834,0.8999999999999999
B1Dr3S2phr1v1DrR,ComplexFlux,748.0,351.0,0.0,397.0,1.0,0.4692513368983957,0.6387625113739763,-2.230709995133042,5.9363987540263565,0.8999999999999999
B2Dr2S2phr1v1DrR,ComplexFlux,800.0,373.0,0.0,427.0,1.0,0.46625,0.6359761295822677,-2.437500292937021,6.664370001876598,0.8999999999999999
B1Dr1S2phr1v1SaxMic,ComplexFlux,402.0,306.0,67.0,96.0,0.8203753351206434,0.7611940298507462,0.7896774193548388,-11.184448296129457,7.1477801584678575,0.8999999999999999
B1Dr3S2phr1v1SaxMic,ComplexFlux,346.0,225.0,69.0,121.0,0.7653061224489796,0.6502890173410405,0.703125,-11.364388967514726,7.749908282159516,0.8999999999999999
B2Dr2S2phr1v1SaxMic,ComplexFlux,393.0,239.0,65.0,154.0,0.7861842105263158,0.6081424936386769,0.6857962697274033,-10.812198828018284,7.190854454110639,0.8999999999999999
B1Dr1S2phr1v2BassPick,ComplexFlux,297.0,246.0,32.0,51.0,0.8848920863309353,0.8282828282828283,0.8556521739130435,-2.9938459025739728,3.4880094118935383,0.8999999999999999
B1Dr3S2phr1v2BassPick,ComplexFlux,281.0,235.0,29.0,46.0,0.8901515151515151,0.8362989323843416,0.8623853211009175,-2.2464449336123504,3.641485466148501,0.8999999999999999
B2Dr2S2phr1v2BassPick,ComplexFlux,292.0,226.0,35.0,66.0,0.8659003831417624,0.773972602739726,0.8173598553345388,-2.491086646577293,4.452067984150891,0.8999999999999999
B1Dr1S2phr1v2DrL,ComplexFlux,668.0,380.0,0.0,288.0,1.0,0.5688622754491018,0.7251908396946565,-3.4498345678446896,4.805403980461372,0.8999999999999999
B1Dr3S2phr1v2DrL,ComplexFlux,750.0,350.0,0.0,400.0,1.0,0.4666666666666667,0.6363636363636364,-1.9247596897181283,6.264671504528672,0.8999999999999999
B2Dr2S2phr1v2DrL,ComplexFlux,798.0,368.0,0.0,430.0,1.0,0.46115288220551376,0.6312178387650086,-1.2309786002043968,6.870094530311752,0.8999999999999999
B1Dr1S2phr1v2DrR,ComplexFlux,668.0,380.0,0.0,288.0,1.0,0.5688622754491018,0.7251908396946565,-3.0637603898299695,5.581547708020383,0.8999999999999999
B1Dr3S2phr1v2DrR,ComplexFlux,750.0,351.0,0.0,399.0,1.0,0.468,0.6376021798365124,-1.7175902652698367,6.56873328341377,0.8999999999999999
B2Dr2S2phr1v2DrR,ComplexFlux,798.0,383.0,0.0,415.0,1.0,0.4799498746867168,0.6486028789161727,-1.8797876948987444,6.738227698779858,0.8999999999999999
