filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1BassPick,OnsetDetector,281.0,270.0,84.0,11.0,0.7627118644067796,0.9608540925266904,0.8503937007874015,6.639403613372936,5.977711903225028,0.5
B1Dr3S2phr1v1BassPick,OnsetDetector,280.0,276.0,85.0,4.0,0.7645429362880887,0.9857142857142858,0.8611544461778472,5.85686345282046,6.325399722250753,0.5
B2Dr2S2phr1v1BassPick,OnsetDetector,285.0,275.0,65.0,10.0,0.8088235294117647,0.9649122807017544,0.88,5.72803749281167,7.7993567190369495,0.5
B1Dr1S2phr1v1DrL,OnsetDetector,641.0,404.0,0.0,237.0,1.0,0.6302652106084243,0.7732057416267942,7.2225403773200565,6.397335380009642,0.5
B1Dr3S2phr1v1DrL,OnsetDetector,748.0,425.0,0.0,323.0,1.0,0.5681818181818182,0.7246376811594203,8.147990183837445,6.3833789887099135,0.5
B2Dr2S2phr1v1DrL,OnsetDetector,800.0,445.0,3.0,355.0,0.9933035714285714,0.55625,0.7131410256410257,8.961282923537352,6.925603398004033,0.5
B1Dr1S2phr1v1DrR,OnsetDetector,641.0,409.0,2.0,232.0,0.9951338199513382,0.6380655226209049,0.7775665399239544,7.779397469380202,7.049863816064138,0.5
B1Dr3S2phr1v1DrR,OnsetDetector,748.0,440.0,0.0,308.0,1.0,0.5882352941176471,0.7407407407407407,8.54043606724833,7.096675657377941,0.5
B2Dr2S2phr1v1DrR,OnsetDetector,800.0,453.0,2.0,347.0,0.9956043956043956,0.56625,0.7219123505976095,8.242412595683302,7.021628826653153,0.5
B1Dr1S2phr1v1SaxMic,OnsetDetector,402.0,381.0,54.0,21.0,0.8758620689655172,0.9477611940298507,0.9103942652329748,-4.4646537572268565,6.853493143369758,0.5
B1Dr3S2phr1v1SaxMic,OnsetDetector,346.0,326.0,45.0,20.0,0.8787061994609164,0.9421965317919075,0.9093444909344492,-4.852064155171035,6.970476870499169,0.5
B2Dr2S2phr1v1SaxMic,OnsetDetector,393.0,364.0,47.0,29.0,0.8856447688564477,0.926208651399491,0.9054726368159205,-4.998967235829791,7.5636697158885635,0.5
B1Dr1S2phr1v2BassPick,OnsetDetector,297.0,282.0,79.0,15.0,0.7811634349030471,0.9494949494949495,0.8571428571428571,5.147710593188455,6.8524725881565445,0.5
B1Dr3S2phr1v2BassPick,OnsetDetector,281.0,273.0,74.0,8.0,0.7867435158501441,0.9715302491103203,0.8694267515923567,5.010644784855395,6.690858907968224,0.5
B2Dr2S2phr1v2BassPick,OnsetDetector,292.0,280.0,73.0,12.0,0.7932011331444759,0.958904109589041,0.8682170542635659,5.911538981849456,6.929372259993295,0.5
B1Dr1S2phr1v2DrL,OnsetDetector,668.0,421.0,0.0,247.0,1.0,0.6302395209580839,0.773186409550046,7.354958605328455,6.661270591877529,0.5
B1Dr3S2phr1v2DrL,OnsetDetector,750.0,398.0,1.0,352.0,0.9974937343358395,0.5306666666666666,0.6927763272410792,8.476290708346218,6.20426167598179,0.5
B2Dr2S2phr1v2DrL,OnsetDetector,798.0,456.0,1.0,342.0,0.9978118161925602,0.5714285714285714,0.7266932270916335,8.97322592429493,6.462226658363101,0.5
B1Dr1S2phr1v2DrR,OnsetDetector,668.0,432.0,1.0,236.0,0.9976905311778291,0.6467065868263473,0.784741144414169,8.099006691128208,7.64404124773245,0.5
B1Dr3S2phr1v2DrR,OnsetDetector,750.0,403.0,1.0,347.0,0.9975247524752475,0.5373333333333333,0.6984402079722702,8.832922466797521,6.888275568101063,0.5
B2Dr2S2phr1v2DrR,OnsetDetector,798.0,461.0,3.0,337.0,0.9935344827586207,0.5776942355889725,0.7305863708399367,8.494485110875871,6.66605723291315,0.5
B1Dr1S2phr1v2SaxMic,OnsetDetector,390.0,374.0,60.0,16.0,0.8617511520737328,0.958974358974359,0.9077669902912622,-4.431813243018371,6.93542288554558,0.5
B1Dr3S2phr1v2SaxMic,OnsetDetector,355.0,340.0,65.0,15.0,0.8395061728395061,0.9577464788732394,0.8947368421052632,-4.84761692045738,6.664820645202742,0.5
B2Dr2S2phr1v2SaxMic,OnsetDetector,395.0,373.0,50.0,22.0,0.8817966903073287,0.9443037974683545,0.9119804400977994,-4.559209710643267,7.30224045547556,0.5
B1Dr1S2phr2v1BassPick,OnsetDetector,108.0,102.0,52.0,6.0,0.6623376623376623,0.9444444444444444,0.7786259541984734,5.730802847069801,4.607625686043852,0.5
B1Dr3S2phr2v1BassPick,OnsetDetector,101.0,96.0,11.0,5.0,0.897196261682243,0.9504950495049505,0.923076923076923,5.155402594365782,5.947330880276812,0.5
B2Dr2S2phr2v1BassPick,OnsetDetector,103.0,102.0,27.0,1.0,0.7906976744186046,0.9902912621359223,0.8793103448275862,7.429573592255008,6.073778001675963,0.5
B1Dr1S2phr2v1DrL,OnsetDetector,250.0,135.0,26.0,115.0,0.8385093167701864,0.54,0.6569343065693432,6.891824225160785,6.137976757173413,0.5
B1Dr3S2phr2v1DrL,OnsetDetector,242.0,128.0,0.0,114.0,1.0,0.5289256198347108,0.6918918918918919,7.502279214921283,6.651316442873197,0.5
B2Dr2S2phr2v1DrL,OnsetDetector,321.0,155.0,1.0,166.0,0.9935897435897436,0.48286604361370716,0.649895178197065,8.787228732289783,6.913798212952443,0.5
B1Dr1S2phr2v1DrR,OnsetDetector,250.0,146.0,28.0,104.0,0.8390804597701149,0.584,0.6886792452830188,7.59232526891145,7.243882286489899,0.5
B1Dr3S2phr2v1DrR,OnsetDetector,242.0,130.0,0.0,112.0,1.0,0.5371900826446281,0.6989247311827956,8.264264181327809,7.785571703624666,0.5
B2Dr2S2phr2v1DrR,OnsetDetector,321.0,155.0,1.0,166.0,0.9935897435897436,0.48286604361370716,0.649895178197065,7.928221979634227,6.927991377263061,0.5
B1Dr1S2phr2v1SaxMic,OnsetDetector,124.0,114.0,21.0,10.0,0.8444444444444444,0.9193548387096774,0.8803088803088802,-5.1247639878395805,6.675103670622664,0.5
B1Dr3S2phr2v1SaxMic,OnsetDetector,125.0,120.0,12.0,5.0,0.9090909090909091,0.96,0.9338521400778209,-5.956033983378036,7.352325361975,0.5
