filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1,CNNOnsetDetector,0,0,598,0,0,1,0,nan,nan,1.1
B1Dr1S2phr1v1,CNNOnsetDetector,402,298,300,104,0.4983277592,0.7412935323,0.596,-7.5842698444,7.6009333384,1.1
B1Dr1S2phr1v1,CNNOnsetDetector,641,374,224,267,0.6254180602,0.5834633385,0.6037126715,3.5393043899,9.1889060239,1.1
B1Dr1S2phr1v1,CNNOnsetDetector,641,374,224,267,0.6254180602,0.5834633385,0.6037126715,3.5393043899,9.1889060239,1.1
B1Dr1S2phr2v2,CNNOnsetDetector,0,0,185,0,0,1,0,nan,nan,1.1
B1Dr1S2phr2v2,CNNOnsetDetector,107,81,104,26,0.4378378378,0.7570093458,0.5547945205,-6.4549708907,8.4244360263,1.1
B1Dr1S2phr2v2,CNNOnsetDetector,253,137,48,116,0.7405405405,0.5415019763,0.6255707763,2.390661346,9.9770497124,1.1
B1Dr1S2phr2v2,CNNOnsetDetector,253,137,48,116,0.7405405405,0.5415019763,0.6255707763,2.390661346,9.9770497124,1.1
B1Dr2S2phr1v1,CNNOnsetDetector,0,0,565,0,0,1,0,nan,nan,1.1
B1Dr2S2phr1v1,CNNOnsetDetector,381,218,347,163,0.385840708,0.5721784777,0.4608879493,-7.0386502593,9.6377462887,1.1
B1Dr2S2phr1v1,CNNOnsetDetector,893,462,103,431,0.817699115,0.5173572228,0.633744856,4.8739187513,9.2892499728,1.1
B1Dr2S2phr1v1,CNNOnsetDetector,893,462,103,431,0.817699115,0.5173572228,0.633744856,4.8739187513,9.2892499728,1.1
B1Dr2S2phr2v2,CNNOnsetDetector,0,0,186,0,0,1,0,nan,nan,1.1
B1Dr2S2phr2v2,CNNOnsetDetector,104,60,126,44,0.3225806452,0.5769230769,0.4137931034,-4.8711349414,11.3092820879,1.1
B1Dr2S2phr2v2,CNNOnsetDetector,334,155,31,179,0.8333333333,0.4640718563,0.5961538462,4.5610221432,9.0799150729,1.1
B1Dr2S2phr2v2,CNNOnsetDetector,334,155,31,179,0.8333333333,0.4640718563,0.5961538462,4.5610221432,9.0799150729,1.1
B1Dr3S2phr1v1,CNNOnsetDetector,0,0,576,0,0,1,0,nan,nan,1.1
B1Dr3S2phr1v1,CNNOnsetDetector,346,233,343,113,0.4045138889,0.6734104046,0.5054229935,-6.2928597243,9.0008966459,1.1
B1Dr3S2phr1v1,CNNOnsetDetector,748,416,160,332,0.7222222222,0.5561497326,0.6283987915,5.0656048429,8.5393055365,1.1
B1Dr3S2phr1v1,CNNOnsetDetector,748,416,160,332,0.7222222222,0.5561497326,0.6283987915,5.0656048429,8.5393055365,1.1
B1Dr3S2phr2v2,CNNOnsetDetector,0,0,182,0,0,1,0,nan,nan,1.1
B1Dr3S2phr2v2,CNNOnsetDetector,133,82,100,51,0.4505494505,0.6165413534,0.5206349206,-6.7642694577,8.6055047271,1.1
B1Dr3S2phr2v2,CNNOnsetDetector,230,130,52,100,0.7142857143,0.5652173913,0.6310679612,2.9549657074,9.3926878335,1.1
B1Dr3S2phr2v2,CNNOnsetDetector,230,130,52,100,0.7142857143,0.5652173913,0.6310679612,2.9549657074,9.3926878335,1.1
