filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1,OnsetDetector,0,0,213,0,0,1,0,nan,nan,1
B1Dr1S2phr1v1,OnsetDetector,402,108,105,294,0.5070422535,0.2686567164,0.3512195122,-1.0986382927,10.5699130293,1
B1Dr1S2phr1v1,OnsetDetector,641,168,45,473,0.7887323944,0.2620904836,0.393442623,6.3525487409,9.092180599,1
B1Dr1S2phr1v1,OnsetDetector,641,168,45,473,0.7887323944,0.2620904836,0.393442623,6.3525487409,9.092180599,1
B1Dr1S2phr2v2,OnsetDetector,0,0,77,0,0,1,0,nan,nan,1
B1Dr1S2phr2v2,OnsetDetector,107,36,41,71,0.4675324675,0.3364485981,0.3913043478,-2.237791144,14.1571379455,1
B1Dr1S2phr2v2,OnsetDetector,253,73,4,180,0.9480519481,0.2885375494,0.4424242424,6.1883603696,10.387865367,1
B1Dr1S2phr2v2,OnsetDetector,253,73,4,180,0.9480519481,0.2885375494,0.4424242424,6.1883603696,10.387865367,1
B1Dr2S2phr1v1,OnsetDetector,0,0,259,0,0,1,0,nan,nan,1
B1Dr2S2phr1v1,OnsetDetector,381,110,149,271,0.4247104247,0.2887139108,0.34375,-3.1875778104,11.6464505374,1
B1Dr2S2phr1v1,OnsetDetector,893,241,18,652,0.9305019305,0.2698768197,0.4184027778,7.5894743008,8.2973992621,1
B1Dr2S2phr1v1,OnsetDetector,893,241,18,652,0.9305019305,0.2698768197,0.4184027778,7.5894743008,8.2973992621,1
B1Dr2S2phr2v2,OnsetDetector,0,0,104,0,0,1,0,nan,nan,1
B1Dr2S2phr2v2,OnsetDetector,104,29,75,75,0.2788461538,0.2788461538,0.2788461538,-0.7652431979,12.1749624517,1
B1Dr2S2phr2v2,OnsetDetector,334,96,8,238,0.9230769231,0.2874251497,0.4383561644,6.2074668496,8.4131681895,1
B1Dr2S2phr2v2,OnsetDetector,334,96,8,238,0.9230769231,0.2874251497,0.4383561644,6.2074668496,8.4131681895,1
B1Dr3S2phr1v1,OnsetDetector,0,0,221,0,0,1,0,nan,nan,1
B1Dr3S2phr1v1,OnsetDetector,346,79,142,267,0.3574660633,0.2283236994,0.278659612,-4.2416342228,11.7380080572,1
B1Dr3S2phr1v1,OnsetDetector,748,198,23,550,0.8959276018,0.2647058824,0.4086687307,7.3308064253,7.0312854906,1
B1Dr3S2phr1v1,OnsetDetector,748,198,23,550,0.8959276018,0.2647058824,0.4086687307,7.3308064253,7.0312854906,1
