filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1BassPick,CNNOnsetDetector,281,273,110,8,0.7127937337,0.9715302491,0.8222891566,-0.328470465,5.36115056,0.1
B1Dr3S2phr1v1BassPick,CNNOnsetDetector,280,271,107,9,0.7169312169,0.9678571429,0.8237082067,-0.9590333751,5.3180402276,0.1
B2Dr2S2phr1v1BassPick,CNNOnsetDetector,285,271,102,14,0.726541555,0.950877193,0.8237082067,-0.2188576722,6.4030918115,0.1
B1Dr1S2phr1v2BassPick,CNNOnsetDetector,297,279,102,18,0.7322834646,0.9393939394,0.8230088496,-1.6151026206,5.3027421182,0.1
B1Dr3S2phr1v2BassPick,CNNOnsetDetector,281,271,101,10,0.7284946237,0.9644128114,0.8300153139,-1.4898732302,5.49316961,0.1
B2Dr2S2phr1v2BassPick,CNNOnsetDetector,292,275,109,17,0.7161458333,0.9417808219,0.8136094675,-0.7864978771,5.6658468932,0.1
B1Dr1S2phr2v1BassPick,CNNOnsetDetector,108,103,63,5,0.6204819277,0.9537037037,0.7518248175,-0.7851884665,4.771398088,0.1
B1Dr3S2phr2v1BassPick,CNNOnsetDetector,101,98,24,3,0.8032786885,0.9702970297,0.8789237668,-2.2572139807,4.6965838621,0.1
B2Dr2S2phr2v1BassPick,CNNOnsetDetector,103,102,46,1,0.6891891892,0.9902912621,0.812749004,0.091135121,5.8855962728,0.1
B1Dr1S2phr2v2BassPick,CNNOnsetDetector,107,99,23,8,0.8114754098,0.9252336449,0.864628821,-1.501515635,5.042412766,0.1
B1Dr3S2phr2v2BassPick,CNNOnsetDetector,100,95,32,5,0.7480314961,0.95,0.8370044053,-2.1971257909,5.0908246679,0.1
B2Dr2S2phr2v2BassPick,CNNOnsetDetector,105,101,45,4,0.6917808219,0.9619047619,0.8047808765,-0.4037737222,5.6738222211,0.1
B1Dr1S2phr3v1BassPick,CNNOnsetDetector,177,173,63,4,0.7330508475,0.9774011299,0.8377723971,-0.2530846141,4.7618232798,0.1
B1Dr3S2phr3v1BassPick,CNNOnsetDetector,180,177,55,3,0.7629310345,0.9833333333,0.859223301,-1.6102504781,6.2044107628,0.1
B2Dr2S2phr3v1BassPick,CNNOnsetDetector,151,143,55,8,0.7222222222,0.9470198675,0.8194842407,-0.2419679315,6.070528664,0.1
B1Dr1S2phr3v2BassPick,CNNOnsetDetector,175,170,52,5,0.7657657658,0.9714285714,0.8564231738,-0.2248984165,4.6406130569,0.1
B1Dr3S2phr3v2BassPick,CNNOnsetDetector,165,159,52,6,0.7535545024,0.9636363636,0.8457446809,-1.1494588352,5.0242825657,0.1
B2Dr2S2phr3v2BassPick,CNNOnsetDetector,148,142,71,6,0.6666666667,0.9594594595,0.7867036011,-0.7863261665,5.9368183729,0.1
B1Dr2S2phr1v1BassPick,CNNOnsetDetector,285,282,123,3,0.6962962963,0.9894736842,0.8173913043,-0.5170439047,5.6835519971,0.1
B2Dr1S2phr1v1BassPick,CNNOnsetDetector,262,251,153,11,0.6212871287,0.9580152672,0.7537537538,-0.7700685561,5.4752216967,0.1
B2Dr3S2phr1v1BassPick,CNNOnsetDetector,282,271,102,11,0.726541555,0.9609929078,0.827480916,-1.3307574767,6.7794367126,0.1
B1Dr2S2phr1v2BassPick,CNNOnsetDetector,278,272,116,6,0.7010309278,0.9784172662,0.8168168168,-0.8649815641,4.8991347486,0.1
B2Dr1S2phr1v2BassPick,CNNOnsetDetector,287,273,146,14,0.6515513126,0.9512195122,0.7733711048,0.0733107704,5.8519412396,0.1
B2Dr3S2phr1v2BassPick,CNNOnsetDetector,291,285,74,6,0.7938718663,0.9793814433,0.8769230769,-0.1212009847,6.2633257264,0.1
B1Dr2S2phr2v1BassPick,CNNOnsetDetector,109,106,31,3,0.7737226277,0.9724770642,0.8617886179,-1.1434637002,5.6314232804,0.1
B2Dr1S2phr2v1BassPick,CNNOnsetDetector,106,100,78,6,0.5617977528,0.9433962264,0.7042253521,-1.3463138424,6.8687842105,0.1
B2Dr3S2phr2v1BassPick,CNNOnsetDetector,106,100,29,6,0.7751937984,0.9433962264,0.8510638298,-0.3373834499,6.2950915112,0.1
B1Dr2S2phr2v2BassPick,CNNOnsetDetector,109,106,24,3,0.8153846154,0.9724770642,0.8870292887,-1.7816232019,4.4210387101,0.1
B2Dr1S2phr2v2BassPick,CNNOnsetDetector,104,99,53,5,0.6513157895,0.9519230769,0.7734375,-1.3595671479,6.5501710548,0.1
B2Dr3S2phr2v2BassPick,CNNOnsetDetector,105,103,34,2,0.7518248175,0.980952381,0.8512396694,-1.2385556393,5.8622649953,0.1
B1Dr2S2phr3v1BassPick,CNNOnsetDetector,176,167,75,9,0.6900826446,0.9488636364,0.7990430622,-0.2441079691,5.197171348,0.1
B2Dr1S2phr3v1BassPick,CNNOnsetDetector,165,162,58,3,0.7363636364,0.9818181818,0.8415584416,-0.2722529849,5.7999639432,0.1
B2Dr3S2phr3v1BassPick,CNNOnsetDetector,150,146,60,4,0.7087378641,0.9733333333,0.8202247191,0.8011031491,5.8709824079,0.1
B1Dr2S2phr3v2BassPick,CNNOnsetDetector,174,171,49,3,0.7772727273,0.9827586207,0.8680203046,-1.0663351329,5.7771921527,0.1
B2Dr1S2phr3v2BassPick,CNNOnsetDetector,152,146,52,6,0.7373737374,0.9605263158,0.8342857143,-0.8277634894,6.6102622008,0.1
B2Dr3S2phr3v2BassPick,CNNOnsetDetector,142,139,61,3,0.695,0.9788732394,0.8128654971,-0.2948477257,6.2507461256,0.1
B1Dr1S2phr1v1,CNNOnsetDetector,0,0,613,0,0,1,0,nan,nan,1
