filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1BassPick,CNNOnsetDetector,281.0,273.0,190.0,8.0,0.5896328293736501,0.9715302491103203,0.7338709677419354,-0.32847046496195287,5.361150560022235,0.02000000000000001
B1Dr3S2phr1v1BassPick,CNNOnsetDetector,280.0,272.0,181.0,8.0,0.6004415011037527,0.9714285714285714,0.7421555252387448,-1.0144093421909166,5.3859629086185725,0.02000000000000001
B2Dr2S2phr1v1BassPick,CNNOnsetDetector,285.0,273.0,154.0,12.0,0.639344262295082,0.9578947368421052,0.7668539325842697,-0.21511674756646879,6.421716198888774,0.02000000000000001
B1Dr1S2phr1v2BassPick,CNNOnsetDetector,297.0,279.0,154.0,18.0,0.6443418013856813,0.9393939393939394,0.7643835616438357,-1.6151026206478114,5.3027421182314685,0.02000000000000001
B1Dr3S2phr1v2BassPick,CNNOnsetDetector,281.0,271.0,176.0,10.0,0.6062639821029083,0.9644128113879004,0.7445054945054945,-1.4898732302442539,5.493169609993238,0.02000000000000001
B2Dr2S2phr1v2BassPick,CNNOnsetDetector,292.0,280.0,183.0,12.0,0.6047516198704104,0.958904109589041,0.7417218543046359,-0.7758915191972233,6.0260223565894355,0.02000000000000001
B1Dr1S2phr2v1BassPick,CNNOnsetDetector,108.0,104.0,82.0,4.0,0.5591397849462365,0.9629629629629629,0.7074829931972789,-0.6798850188298562,4.8671841572123276,0.02000000000000001
B1Dr3S2phr2v1BassPick,CNNOnsetDetector,101.0,98.0,43.0,3.0,0.6950354609929078,0.9702970297029703,0.8099173553719008,-2.257213980748951,4.6965838621002405,0.02000000000000001
B2Dr2S2phr2v1BassPick,CNNOnsetDetector,103.0,102.0,75.0,1.0,0.576271186440678,0.9902912621359223,0.7285714285714285,0.09113512100417001,5.885596272836531,0.02000000000000001
B1Dr1S2phr2v2BassPick,CNNOnsetDetector,107.0,99.0,48.0,8.0,0.673469387755102,0.9252336448598131,0.779527559055118,-1.5015156350364234,5.042412765968526,0.02000000000000001
B1Dr3S2phr2v2BassPick,CNNOnsetDetector,100.0,95.0,54.0,5.0,0.6375838926174496,0.95,0.7630522088353413,-2.1971257908723594,5.0908246678577544,0.02000000000000001
B2Dr2S2phr2v2BassPick,CNNOnsetDetector,105.0,101.0,66.0,4.0,0.6047904191616766,0.9619047619047619,0.7426470588235294,-0.40377372215086055,5.673822221062071,0.02000000000000001
B1Dr1S2phr3v1BassPick,CNNOnsetDetector,177.0,173.0,100.0,4.0,0.6336996336996337,0.9774011299435028,0.7688888888888888,-0.2530846140861074,4.761823279770435,0.02000000000000001
B1Dr3S2phr3v1BassPick,CNNOnsetDetector,180.0,177.0,82.0,3.0,0.6833976833976834,0.9833333333333333,0.8063781321184511,-1.6102504780999431,6.204410762828836,0.02000000000000001
B2Dr2S2phr3v1BassPick,CNNOnsetDetector,151.0,143.0,95.0,8.0,0.6008403361344538,0.9470198675496688,0.7352185089974292,-0.24196793154329654,6.070528663965852,0.02000000000000001
B1Dr1S2phr3v2BassPick,CNNOnsetDetector,175.0,170.0,83.0,5.0,0.6719367588932806,0.9714285714285714,0.794392523364486,-0.22489841653088968,4.640613056908059,0.02000000000000001
B1Dr3S2phr3v2BassPick,CNNOnsetDetector,165.0,159.0,98.0,6.0,0.6186770428015564,0.9636363636363636,0.7535545023696683,-1.1494588351893467,5.024282565672439,0.02000000000000001
B2Dr2S2phr3v2BassPick,CNNOnsetDetector,148.0,142.0,122.0,6.0,0.5378787878787878,0.9594594594594594,0.6893203883495145,-0.7863261664973792,5.936818372912352,0.02000000000000001
B1Dr2S2phr1v1BassPick,CNNOnsetDetector,285.0,282.0,204.0,3.0,0.5802469135802469,0.9894736842105263,0.7315175097276265,-0.5170439046781231,5.6835519970538195,0.02000000000000001
B2Dr1S2phr1v1BassPick,CNNOnsetDetector,262.0,251.0,231.0,11.0,0.520746887966805,0.9580152671755725,0.674731182795699,-0.7700685561112723,5.4752216967110465,0.02000000000000001
B2Dr3S2phr1v1BassPick,CNNOnsetDetector,282.0,272.0,182.0,10.0,0.5991189427312775,0.9645390070921985,0.7391304347826088,-1.3374295167149823,6.767854358462585,0.02000000000000001
B1Dr2S2phr1v2BassPick,CNNOnsetDetector,278.0,272.0,193.0,6.0,0.5849462365591398,0.9784172661870504,0.7321668909825033,-0.8649815640867576,4.899134748574365,0.02000000000000001
B2Dr1S2phr1v2BassPick,CNNOnsetDetector,287.0,275.0,217.0,12.0,0.5589430894308943,0.9581881533101045,0.7060333761232349,0.03627858883637652,5.887557276855658,0.02000000000000001
