filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1DrL,ComplexFlux,641.0,328.0,0.0,313.0,1.0,0.5117004680187207,0.6769865841073271,-4.0814321761834975,4.324437619007494,1.7000000000000006
B1Dr3S2phr1v1DrL,ComplexFlux,748.0,327.0,0.0,421.0,1.0,0.43716577540106955,0.6083720930232558,-2.771279911474992,5.566528044923348,1.7000000000000006
B2Dr2S2phr1v1DrL,ComplexFlux,800.0,335.0,0.0,465.0,1.0,0.41875,0.5903083700440529,-2.397263106916904,6.37822027525735,1.7000000000000006
B1Dr1S2phr1v2DrL,ComplexFlux,668.0,337.0,0.0,331.0,1.0,0.5044910179640718,0.6706467661691542,-3.869435074693319,4.71628824642741,1.7000000000000006
B1Dr3S2phr1v2DrL,ComplexFlux,750.0,328.0,0.0,422.0,1.0,0.43733333333333335,0.6085343228200372,-2.124044099322917,6.2724253842971756,1.7000000000000006
B2Dr2S2phr1v2DrL,ComplexFlux,798.0,328.0,0.0,470.0,1.0,0.41102756892230574,0.5825932504440497,-1.3695381885655744,7.087703824515444,1.7000000000000006
B1Dr1S2phr2v1DrL,ComplexFlux,250.0,110.0,24.0,140.0,0.8208955223880597,0.44,0.5729166666666666,-3.968179311214664,3.452074228546893,1.7000000000000006
B1Dr3S2phr2v1DrL,ComplexFlux,242.0,110.0,0.0,132.0,1.0,0.45454545454545453,0.625,-3.6530294989135212,4.440798681239212,1.7000000000000006
B2Dr2S2phr2v1DrL,ComplexFlux,321.0,116.0,0.0,205.0,1.0,0.3613707165109034,0.5308924485125858,-1.1215932504987531,8.39005974903758,1.7000000000000006
B1Dr1S2phr2v2DrL,ComplexFlux,253.0,117.0,0.0,136.0,1.0,0.4624505928853755,0.6324324324324324,-3.6926615051628957,3.982971570515913,1.7000000000000006
B1Dr3S2phr2v2DrL,ComplexFlux,230.0,110.0,0.0,120.0,1.0,0.4782608695652174,0.6470588235294118,-3.004736977039341,5.46584312948562,1.7000000000000006
B2Dr2S2phr2v2DrL,ComplexFlux,301.0,122.0,0.0,179.0,1.0,0.4053156146179402,0.5768321513002364,-2.573086493424698,7.12974570127724,1.7000000000000006
B1Dr1S2phr3v1DrL,ComplexFlux,533.0,191.0,0.0,342.0,1.0,0.35834896810506567,0.5276243093922651,-0.19895149026325684,6.676891660368115,1.7000000000000006
B1Dr3S2phr3v1DrL,ComplexFlux,445.0,236.0,0.0,209.0,1.0,0.5303370786516854,0.6930983847283407,-3.1526300544451273,5.808186078461148,1.7000000000000006
B2Dr2S2phr3v1DrL,ComplexFlux,460.0,230.0,0.0,230.0,1.0,0.5,0.6666666666666666,-3.952176786080009,4.611752320074355,1.7000000000000006
B1Dr1S2phr3v2DrL,ComplexFlux,519.0,185.0,0.0,334.0,1.0,0.35645472061657035,0.5255681818181819,-0.7361487048989571,5.159194378267658,1.7000000000000006
B1Dr3S2phr3v2DrL,ComplexFlux,462.0,250.0,0.0,212.0,1.0,0.5411255411255411,0.702247191011236,-3.2580801490202926,4.5833749147319365,1.7000000000000006
B2Dr2S2phr3v2DrL,ComplexFlux,570.0,200.0,0.0,370.0,1.0,0.3508771929824561,0.5194805194805194,-0.7784351065623563,7.192908623439231,1.7000000000000006
B1Dr2S2phr1v1DrL,ComplexFlux,893.0,350.0,0.0,543.0,1.0,0.3919372900335946,0.5631536604987932,-1.6404154625144989,6.8279896726931115,1.7000000000000006
B2Dr1S2phr1v1DrL,ComplexFlux,761.0,326.0,4.0,435.0,0.9878787878787879,0.4283837056504599,0.5976168652612283,-1.9828750141767082,6.053084024973184,1.7000000000000006
B2Dr3S2phr1v1DrL,ComplexFlux,796.0,316.0,0.0,480.0,1.0,0.3969849246231156,0.5683453237410072,-2.4626204491691595,6.217590100977837,1.7000000000000006
B1Dr2S2phr1v2DrL,ComplexFlux,867.0,362.0,0.0,505.0,1.0,0.41753171856978083,0.5890968266883645,-1.5733771293152168,7.23028251596052,1.7000000000000006
B2Dr1S2phr1v2DrL,ComplexFlux,739.0,334.0,0.0,405.0,1.0,0.4519621109607578,0.6225535880708294,-3.0697972810600294,4.874271217781416,1.7000000000000006
B2Dr3S2phr1v2DrL,ComplexFlux,824.0,327.0,0.0,497.0,1.0,0.39684466019417475,0.5682015638575152,-1.8498328410923046,6.336200651524789,1.7000000000000006
B1Dr2S2phr2v1DrL,ComplexFlux,340.0,117.0,0.0,223.0,1.0,0.34411764705882353,0.512035010940919,-2.9529909638109384,5.49030469558706,1.7000000000000006
B2Dr1S2phr2v1DrL,ComplexFlux,269.0,117.0,0.0,152.0,1.0,0.4349442379182156,0.6062176165803109,-1.9314486261548653,5.990054689361958,1.7000000000000006
B2Dr3S2phr2v1DrL,ComplexFlux,268.0,115.0,0.0,153.0,1.0,0.4291044776119403,0.6005221932114883,-2.3722814775810965,5.913308246136367,1.7000000000000006
